product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,size,material,closure_type,sole_material,occasion,gender,features,description,image_url,product_url
700001,Puma Fuse 3.0,Fashion,Sneakers,Puma,1999,2899,31,5.0,2045,In Stock,ShopWise Fashion,6 Months,Black,6,Mesh,Lace-Up,Rubber,Casual,Unisex,"Water Resistant, Anti-Slip, Cushioned Sole","Puma Fuse 3.0 sneakers with water resistant, anti-slip, cushioned sole. Ideal for gym use.",https://example.com/images/footwear/700001.jpg,https://example.com/products/700001
700002,Bata Power Runner,Fashion,Running Shoes,Bata,6699,8599,22,4.1,16852,In Stock,ShopWise Fashion,6 Months,Brown,11,Canvas,Slip-On,TPR,Casual,Unisex,"Cushioned Sole, Arch Support, Memory Foam","Bata Power Runner running shoes with cushioned sole, arch support, memory foam. Ideal for casual use.",https://example.com/images/footwear/700002.jpg,https://example.com/products/700002
700003,Puma Fuse 3.0,Fashion,Sneakers,Puma,9099,10799,16,4.4,16215,In Stock,ShopWise Fashion,6 Months,Brown,8,Leather,Velcro,TPR,Running,Unisex,"Breathable, Anti-Slip, Lightweight","Puma Fuse 3.0 sneakers with breathable, anti-slip, lightweight. Ideal for gym use.",https://example.com/images/footwear/700003.jpg,https://example.com/products/700003
700004,Reebok Floatride,Fashion,Sneakers,Reebok,4399,5399,19,4.7,19130,In Stock,ShopWise Fashion,6 Months,Grey,11,Leather,Lace-Up,TPR,Gym,Unisex,"Memory Foam, Arch Support, Lightweight","Reebok Floatride sneakers with memory foam, arch support, lightweight. Ideal for office use.",https://example.com/images/footwear/700004.jpg,https://example.com/products/700004
700005,Woodland Casual Shoe,Fashion,Sneakers,Woodland,8099,8599,6,4.4,24325,In Stock,ShopWise Fashion,6 Months,Brown,9,Leather,Lace-Up,EVA,Casual,Unisex,"Breathable, Water Resistant, Cushioned Sole","Woodland Casual Shoe sneakers with breathable, water resistant, cushioned sole. Ideal for gym use.",https://example.com/images/footwear/700005.jpg,https://example.com/products/700005
700006,Bata Casual Sneaker,Fashion,Sneakers,Bata,3099,3999,23,4.9,9926,In Stock,ShopWise Fashion,6 Months,Black,10,Mesh,Velcro,EVA,Running,Unisex,"Memory Foam, Arch Support, Breathable","Bata Casual Sneaker sneakers with memory foam, arch support, breathable. Ideal for running use.",https://example.com/images/footwear/700006.jpg,https://example.com/products/700006
700007,Woodland Casual Shoe,Fashion,Sneakers,Woodland,9499,11699,19,4.0,21353,In Stock,ShopWise Fashion,6 Months,Black,8,Knit,Velcro,TPR,Running,Unisex,"Lightweight, Memory Foam, Anti-Slip","Woodland Casual Shoe sneakers with lightweight, memory foam, anti-slip. Ideal for gym use.",https://example.com/images/footwear/700007.jpg,https://example.com/products/700007
700008,Adidas Ultraboost Light,Fashion,Running Shoes,Adidas,9899,12299,20,4.6,9102,In Stock,ShopWise Fashion,6 Months,Red,10,Mesh,Velcro,EVA,Office,Unisex,"Water Resistant, Cushioned Sole, Memory Foam","Adidas Ultraboost Light running shoes with water resistant, cushioned sole, memory foam. Ideal for casual use.",https://example.com/images/footwear/700008.jpg,https://example.com/products/700008
700009,Puma BMW Sneakers,Fashion,Sneakers,Puma,8599,10799,20,4.1,18065,In Stock,ShopWise Fashion,6 Months,Green,7,Canvas,Lace-Up,TPR,Casual,Unisex,"Breathable, Cushioned Sole, Memory Foam","Puma BMW Sneakers sneakers with breathable, cushioned sole, memory foam. Ideal for outdoor use.",https://example.com/images/footwear/700009.jpg,https://example.com/products/700009
700010,Nike Air Max,Fashion,Sneakers,Nike,2699,4899,45,4.9,13244,In Stock,ShopWise Fashion,6 Months,White,8,Knit,Slip-On,TPR,Running,Unisex,"Cushioned Sole, Arch Support, Breathable","Nike Air Max sneakers with cushioned sole, arch support, breathable. Ideal for travel use.",https://example.com/images/footwear/700010.jpg,https://example.com/products/700010
