product_id,product_name,category,sub_category,brand,model,processor,ram,storage,gpu,display,operating_system,price,original_price,discount_percentage,rating,review_count,color,battery,weight,warranty,stock_status,seller,description,features,purpose,image_url,product_url
200001,Lenovo IdeaPad Slim 3,Electronics,Laptop,Lenovo,IdeaPad Slim 3,Intel Core i5-13420H,32GB,512GB SSD,Integrated,14 OLED,Windows 11,88000,101000,13,4.5,6181,Grey,12 Hours,1.8 kg,1 Year,In Stock,ShopWise Store,"Lenovo IdeaPad Slim 3 laptop with Intel Core i5-13420H, 32GB, 512GB SSD and Integrated. Ideal for students.","Intel Core i5-13420H, 32GB, 512GB SSD, Integrated, Windows 11",Students,https://example.com/images/laptops/200001.jpg,https://example.com/products/200001
200002,Dell Inspiron 15,Electronics,Laptop,Dell,Inspiron 15,Intel Core i7-1355U,32GB,256GB SSD,Integrated,14 FHD IPS,Windows 11,69000,78000,12,4.6,15963,Grey,8 Hours,1.8 kg,1 Year,In Stock,ShopWise Store,"Dell Inspiron 15 laptop with Intel Core i7-1355U, 32GB, 256GB SSD and Integrated. Ideal for machine learning.","Intel Core i7-1355U, 32GB, 256GB SSD, Integrated, Windows 11",Machine Learning,https://example.com/images/laptops/200002.jpg,https://example.com/products/200002
200003,Apple MacBook Pro M4,Electronics,Laptop,Apple,MacBook Pro M4,Apple M2,8GB,256GB SSD,Integrated,14 FHD IPS,macOS,116000,130000,11,4.5,1847,Black,12 Hours,1.5 kg,1 Year,In Stock,ShopWise Store,"Apple MacBook Pro M4 laptop with Apple M2, 8GB, 256GB SSD and Integrated. Ideal for gaming.","Apple M2, 8GB, 256GB SSD, Integrated, Windows 11",Gaming,https://example.com/images/laptops/200003.jpg,https://example.com/products/200003
200004,Lenovo Yoga Slim 6,Electronics,Laptop,Lenovo,Yoga Slim 6,Ryzen 5 7535HS,16GB,512GB SSD,Integrated,15.6 FHD,Windows 11,111000,123000,10,4.6,15433,Blue,8 Hours,2.2 kg,1 Year,In Stock,ShopWise Store,"Lenovo Yoga Slim 6 laptop with Ryzen 5 7535HS, 16GB, 512GB SSD and Integrated. Ideal for programming.","Ryzen 5 7535HS, 16GB, 512GB SSD, Integrated, Windows 11",Programming,https://example.com/images/laptops/200004.jpg,https://example.com/products/200004
200005,Apple MacBook Air M2,Electronics,Laptop,Apple,MacBook Air M2,Apple M4,32GB,512GB SSD,RTX 3050,15.6 FHD,macOS,109000,121000,10,4.3,16881,Blue,8 Hours,1.5 kg,1 Year,In Stock,ShopWise Store,"Apple MacBook Air M2 laptop with Apple M4, 32GB, 512GB SSD and RTX 3050. Ideal for machine learning.","Apple M4, 32GB, 512GB SSD, RTX 3050, Windows 11",Machine Learning,https://example.com/images/laptops/200005.jpg,https://example.com/products/200005
200006,Apple MacBook Pro M4,Electronics,Laptop,Apple,MacBook Pro M4,Apple M2,16GB,256GB SSD,RTX 4050,15.6 FHD,macOS,124000,127000,2,4.4,2857,Silver,8 Hours,1.2 kg,1 Year,In Stock,ShopWise Store,"Apple MacBook Pro M4 laptop with Apple M2, 16GB, 256GB SSD and RTX 4050. Ideal for gaming.","Apple M2, 16GB, 256GB SSD, RTX 4050, Windows 11",Gaming,https://example.com/images/laptops/200006.jpg,https://example.com/products/200006
200007,Dell Vostro 3520,Electronics,Laptop,Dell,Vostro 3520,Intel Core i5-1335U,16GB,1TB SSD,RTX 3050,14 OLED,Windows 11,106000,118000,10,4.8,6276,Grey,8 Hours,1.5 kg,1 Year,In Stock,ShopWise Store,"Dell Vostro 3520 laptop with Intel Core i5-1335U, 16GB, 1TB SSD and RTX 3050. Ideal for office.","Intel Core i5-1335U, 16GB, 1TB SSD, RTX 3050, Windows 11",Office,https://example.com/images/laptops/200007.jpg,https://example.com/products/200007
200008,ASUS TUF Gaming A15,Electronics,Laptop,ASUS,TUF Gaming A15,Intel Core i7-13650HX,8GB,256GB SSD,Integrated,14 OLED,Windows 11,162000,171000,5,4.6,17861,Silver,8 Hours,1.5 kg,1 Year,In Stock,ShopWise Store,"ASUS TUF Gaming A15 laptop with Intel Core i7-13650HX, 8GB, 256GB SSD and Integrated. Ideal for office.","Intel Core i7-13650HX, 8GB, 256GB SSD, Integrated, Windows 11",Office,https://example.com/images/laptops/200008.jpg,https://example.com/products/200008
200009,ASUS Vivobook 15,Electronics,Laptop,ASUS,Vivobook 15,Intel Core i7-13650HX,32GB,1TB SSD,RTX 4060,16 WQXGA,Windows 11,173000,182000,5,4.4,582,Black,10 Hours,1.2 kg,1 Year,In Stock,ShopWise Store,"ASUS Vivobook 15 laptop with Intel Core i7-13650HX, 32GB, 1TB SSD and RTX 4060. Ideal for machine learning.","Intel Core i7-13650HX, 32GB, 1TB SSD, RTX 4060, Windows 11",Machine Learning,https://example.com/images/laptops/200009.jpg,https://example.com/products/200009
200010,Lenovo LOQ,Electronics,Laptop,Lenovo,LOQ,Intel Core i5-13420H,16GB,256GB SSD,RTX 4050,15.6 FHD,Windows 11,83000,97000,14,4.9,11220,Blue,10 Hours,2.2 kg,1 Year,In Stock,ShopWise Store,"Lenovo LOQ laptop with Intel Core i5-13420H, 16GB, 256GB SSD and RTX 4050. Ideal for students.","Intel Core i5-13420H, 16GB, 256GB SSD, RTX 4050, Windows 11",Students,https://example.com/images/laptops/200010.jpg,https://example.com/products/200010
