product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,size,fit,material,sleeve_type,neck_type,pattern,occasion,purpose,care_instructions,features,description,image_url,product_url,weight,model,case_size,display,battery_life,water_resistance,connectivity,health_features,sports_modes,energy_rating,capacity,power,bluetooth_version,noise_cancellation,skin_type,hair_type,ingredient,volume,spf,gender,closure_type,sole_material,processor,ram,storage,gpu,operating_system,battery,camera
500001,Adidas Own The Run Tee,Fashion,T-Shirt,Adidas,1099,1699,35,4.4,804,In Stock,ShopWise Fashion,No Warranty,Blue,S,Relaxed Fit,Linen,Full Sleeve,Round Neck,Printed,Office,College,Machine Wash,"Linen, Relaxed Fit, Printed, Machine Wash",Adidas Own The Run Tee for men made from Linen. Suitable for office wear with a comfortable relaxed fit.,https://example.com/images/mens/500001.jpg,https://example.com/products/500001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500002,US Polo Oxford Shirt,Fashion,Shirt,US Polo,3299,3499,6,4.9,3948,In Stock,ShopWise Fashion,No Warranty,Green,L,Regular Fit,Dry-Fit Fabric,Full Sleeve,Collar Neck,Checked,Casual,Office,Machine Wash,"Dry-Fit Fabric, Regular Fit, Checked, Machine Wash",US Polo Oxford Shirt for men made from Dry-Fit Fabric. Suitable for casual wear with a comfortable regular fit.,https://example.com/images/mens/500002.jpg,https://example.com/products/500002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500003,Zara Linen Shirt,Fashion,Shirt,Zara,1499,1899,21,5.0,3134,In Stock,ShopWise Fashion,No Warranty,White,XL,Regular Fit,Cotton Blend,Full Sleeve,Collar Neck,Checked,Party,Workout,Machine Wash,"Cotton Blend, Regular Fit, Checked, Machine Wash",Zara Linen Shirt for men made from Cotton Blend. Suitable for party wear with a comfortable regular fit.,https://example.com/images/mens/500003.jpg,https://example.com/products/500003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500004,H&M Oversized Tee,Fashion,T-Shirt,H&M,1199,2099,43,4.6,4800,In Stock,ShopWise Fashion,No Warranty,Grey,XL,Regular Fit,Cotton Blend,Half Sleeve,Round Neck,Striped,Party,Daily Wear,Machine Wash,"Cotton Blend, Regular Fit, Striped, Machine Wash",H&M Oversized Tee for men made from Cotton Blend. Suitable for party wear with a comfortable regular fit.,https://example.com/images/mens/500004.jpg,https://example.com/products/500004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500005,Allen Solly Formal Shirt,Fashion,Shirt,Allen Solly,999,2099,52,4.6,6412,In Stock,ShopWise Fashion,No Warranty,Beige,M,Oversized Fit,Polyester,Full Sleeve,Collar Neck,Striped,Office,Travel,Machine Wash,"Polyester, Oversized Fit, Striped, Machine Wash",Allen Solly Formal Shirt for men made from Polyester. Suitable for office wear with a comfortable oversized fit.,https://example.com/images/mens/500005.jpg,https://example.com/products/500005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500006,Allen Solly Casual Shirt,Fashion,Shirt,Allen Solly,1699,2799,39,4.5,4383,In Stock,ShopWise Fashion,No Warranty,Grey,XL,Relaxed Fit,Linen,Half Sleeve,Collar Neck,Solid,Casual,Workout,Machine Wash,"Linen, Relaxed Fit, Solid, Machine Wash",Allen Solly Casual Shirt for men made from Linen. Suitable for casual wear with a comfortable relaxed fit.,https://example.com/images/mens/500006.jpg,https://example.com/products/500006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500007,US Polo Casual Shirt,Fashion,Shirt,US Polo,2499,3599,31,4.6,6830,In Stock,ShopWise Fashion,No Warranty,Olive,M,Relaxed Fit,Dry-Fit Fabric,Full Sleeve,Collar Neck,Solid,Office,Office,Machine Wash,"Dry-Fit Fabric, Relaxed Fit, Solid, Machine Wash",US Polo Casual Shirt for men made from Dry-Fit Fabric. Suitable for office wear with a comfortable relaxed fit.,https://example.com/images/mens/500007.jpg,https://example.com/products/500007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500008,US Polo Solid Polo,Fashion,Polo T-Shirt,US Polo,2899,3299,12,4.9,3864,In Stock,ShopWise Fashion,No Warranty,Green,L,Relaxed Fit,Dry-Fit Fabric,Half Sleeve,Round Neck,Striped,Party,Travel,Machine Wash,"Dry-Fit Fabric, Relaxed Fit, Striped, Machine Wash",US Polo Solid Polo for men made from Dry-Fit Fabric. Suitable for party wear with a comfortable relaxed fit.,https://example.com/images/mens/500008.jpg,https://example.com/products/500008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500009,US Polo Casual Shirt,Fashion,Shirt,US Polo,1999,2299,13,4.8,7150,In Stock,ShopWise Fashion,No Warranty,Blue,M,Oversized Fit,Cotton Blend,Half Sleeve,Collar Neck,Checked,Party,Workout,Machine Wash,"Cotton Blend, Oversized Fit, Checked, Machine Wash",US Polo Casual Shirt for men made from Cotton Blend. Suitable for party wear with a comfortable oversized fit.,https://example.com/images/mens/500009.jpg,https://example.com/products/500009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500010,Adidas Essentials Tee,Fashion,T-Shirt,Adidas,699,899,22,4.4,10886,In Stock,ShopWise Fashion,No Warranty,Black,XL,Oversized Fit,Linen,Half Sleeve,Round Neck,Printed,Casual,Workout,Machine Wash,"Linen, Oversized Fit, Printed, Machine Wash",Adidas Essentials Tee for men made from Linen. Suitable for casual wear with a comfortable oversized fit.,https://example.com/images/mens/500010.jpg,https://example.com/products/500010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500011,US Polo Oxford Shirt,Fashion,Shirt,US Polo,3699,4599,20,4.8,9468,In Stock,ShopWise Fashion,No Warranty,Olive,XL,Slim Fit,100% Cotton,Full Sleeve,Collar Neck,Checked,Casual,College,Machine Wash,"100% Cotton, Slim Fit, Checked, Machine Wash",US Polo Oxford Shirt for men made from 100% Cotton. Suitable for casual wear with a comfortable slim fit.,https://example.com/images/mens/500011.jpg,https://example.com/products/500011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500012,Peter England Casual Polo,Fashion,Polo T-Shirt,Peter England,799,1099,27,4.3,2579,In Stock,ShopWise Fashion,No Warranty,Beige,L,Oversized Fit,Linen,Full Sleeve,Round Neck,Checked,Party,Workout,Machine Wash,"Linen, Oversized Fit, Checked, Machine Wash",Peter England Casual Polo for men made from Linen. Suitable for party wear with a comfortable oversized fit.,https://example.com/images/mens/500012.jpg,https://example.com/products/500012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500013,H&M Basic Tee,Fashion,T-Shirt,H&M,599,1699,65,4.0,12342,In Stock,ShopWise Fashion,No Warranty,Green,S,Regular Fit,Polyester,Full Sleeve,Round Neck,Checked,Party,Travel,Machine Wash,"Polyester, Regular Fit, Checked, Machine Wash",H&M Basic Tee for men made from Polyester. Suitable for party wear with a comfortable regular fit.,https://example.com/images/mens/500013.jpg,https://example.com/products/500013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500014,US Polo Printed Shirt,Fashion,Shirt,US Polo,2799,3899,28,4.5,567,In Stock,ShopWise Fashion,No Warranty,Grey,M,Regular Fit,Dry-Fit Fabric,Full Sleeve,Collar Neck,Printed,Travel,Daily Wear,Machine Wash,"Dry-Fit Fabric, Regular Fit, Printed, Machine Wash",US Polo Printed Shirt for men made from Dry-Fit Fabric. Suitable for travel wear with a comfortable regular fit.,https://example.com/images/mens/500014.jpg,https://example.com/products/500014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500015,Van Heusen Formal Shirt,Fashion,Shirt,Van Heusen,1899,2799,32,4.6,13825,In Stock,ShopWise Fashion,No Warranty,Black,L,Slim Fit,Cotton Blend,Half Sleeve,Collar Neck,Printed,Party,College,Machine Wash,"Cotton Blend, Slim Fit, Printed, Machine Wash",Van Heusen Formal Shirt for men made from Cotton Blend. Suitable for party wear with a comfortable slim fit.,https://example.com/images/mens/500015.jpg,https://example.com/products/500015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500016,Allen Solly Polo T-Shirt,Fashion,Shirt,Allen Solly,2699,3799,29,4.5,1379,In Stock,ShopWise Fashion,No Warranty,Olive,L,Slim Fit,100% Cotton,Full Sleeve,Collar Neck,Striped,Travel,College,Machine Wash,"100% Cotton, Slim Fit, Striped, Machine Wash",Allen Solly Polo T-Shirt for men made from 100% Cotton. Suitable for travel wear with a comfortable slim fit.,https://example.com/images/mens/500016.jpg,https://example.com/products/500016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
500017,US Polo Oxford Shirt,Fashion,Shirt,US Polo,1199,1799,33,4.7,5691,In Stock,ShopWise Fashion,No Warranty,Black,S,Regular Fit,Dry-Fit Fabric,Half Sleeve,Collar Neck,Printed,Travel,College,Machine Wash,"Dry-Fit Fabric, Regular Fit, Printed, Machine Wash",US Polo Oxford Shirt for men made from Dry-Fit Fabric. Suitable for travel wear with a comfortable regular fit.,https://example.com/images/mens/500017.jpg,https://example.com/products/500017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
