product_id,product_name,category,sub_category,brand,model,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,energy_rating,capacity,power,features,description,purpose,image_url,product_url
800001,Samsung Front Load,Home Appliances,Washing Machine,Samsung,Front Load,69600,74200,6,4.0,6162,In Stock,ShopWise Home,1 Year,Grey,4 Star,28L,500W,"Steam Wash, Child Lock, Quick Wash","Samsung Front Load washing machine with steam wash, child lock, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800001.jpg,https://example.com/products/800001
800002,Samsung Grill,Home Appliances,Microwave Oven,Samsung,Grill,16300,21000,22,4.8,8274,In Stock,ShopWise Home,1 Year,Black,3 Star,2L,750W,"Touch Control, Auto Cook Menu, Child Lock","Samsung Grill microwave oven with touch control, auto cook menu, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800002.jpg,https://example.com/products/800002
800003,Kent RO+UV+UF,Home Appliances,Water Purifier,Kent,RO+UV+UF,20200,25000,19,4.0,14150,In Stock,ShopWise Home,1 Year,Silver,5 Star,28L,1000W,"Mineral Booster, UV, UF","Kent RO+UV+UF water purifier with mineral booster, uv, uf. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800003.jpg,https://example.com/products/800003
800004,LG Front Load,Home Appliances,Washing Machine,LG,Front Load,28600,32000,11,4.7,1159,In Stock,ShopWise Home,1 Year,Grey,4 Star,10kg,750W,"Steam Wash, Inverter Motor, Child Lock","LG Front Load washing machine with steam wash, inverter motor, child lock. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800004.jpg,https://example.com/products/800004
800005,Whirlpool Fully Automatic,Home Appliances,Washing Machine,Whirlpool,Fully Automatic,69900,74400,6,4.9,1578,In Stock,ShopWise Home,1 Year,Grey,3 Star,8kg,1000W,"Steam Wash, Smart Diagnosis, Quick Wash","Whirlpool Fully Automatic washing machine with steam wash, smart diagnosis, quick wash. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800005.jpg,https://example.com/products/800005
800006,LG Double Door,Home Appliances,Refrigerator,LG,Double Door,33000,36800,10,4.2,10400,In Stock,ShopWise Home,1 Year,White,5 Star,190L,1500W,"Energy Rating 3 Star, Convertible Mode, Inverter Compressor","LG Double Door refrigerator with energy rating 3 star, convertible mode, inverter compressor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800006.jpg,https://example.com/products/800006
800007,IFB Convection,Home Appliances,Microwave Oven,IFB,Convection,16400,19500,16,4.9,2142,In Stock,ShopWise Home,1 Year,Black,5 Star,2L,2000W,"Touch Control, Defrost, Auto Cook Menu","IFB Convection microwave oven with touch control, defrost, auto cook menu. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800007.jpg,https://example.com/products/800007
800008,Bajaj 500W,Home Appliances,Mixer Grinder,Bajaj,500W,9900,13800,28,4.4,10635,In Stock,ShopWise Home,1 Year,Grey,5 Star,8kg,1000W,"Stainless Steel Blades, Copper Motor, Overload Protection","Bajaj 500W mixer grinder with stainless steel blades, copper motor, overload protection. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800008.jpg,https://example.com/products/800008
800009,Kent RO+UV,Home Appliances,Water Purifier,Kent,RO+UV,18000,20200,11,4.2,4790,In Stock,ShopWise Home,1 Year,Silver,5 Star,8kg,500W,"RO, UF, Mineral Booster","Kent RO+UV water purifier with ro, uf, mineral booster. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800009.jpg,https://example.com/products/800009
800010,Prestige 1000W,Home Appliances,Mixer Grinder,Prestige,1000W,3700,7800,53,4.8,7873,In Stock,ShopWise Home,1 Year,White,5 Star,8kg,500W,"Stainless Steel Blades, 3 Jars, Copper Motor","Prestige 1000W mixer grinder with stainless steel blades, 3 jars, copper motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800010.jpg,https://example.com/products/800010
800011,Whirlpool Side by Side,Home Appliances,Refrigerator,Whirlpool,Side by Side,78700,79600,1,5.0,11037,In Stock,ShopWise Home,1 Year,Silver,4 Star,20L,1500W,"Inverter Compressor, Toughened Glass Shelves, Convertible Mode","Whirlpool Side by Side refrigerator with inverter compressor, toughened glass shelves, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800011.jpg,https://example.com/products/800011
800012,Samsung Top Load,Home Appliances,Washing Machine,Samsung,Top Load,65900,67400,2,4.9,905,In Stock,ShopWise Home,1 Year,Grey,5 Star,330L,1500W,"Child Lock, Steam Wash, Inverter Motor","Samsung Top Load washing machine with child lock, steam wash, inverter motor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800012.jpg,https://example.com/products/800012
800013,Morphy Richards Grill,Home Appliances,Microwave Oven,Morphy Richards,Grill,9100,12100,25,4.9,8263,In Stock,ShopWise Home,1 Year,Silver,5 Star,1L,500W,"Touch Control, Timer, Defrost","Morphy Richards Grill microwave oven with touch control, timer, defrost. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800013.jpg,https://example.com/products/800013
800014,Philips 1000W,Home Appliances,Mixer Grinder,Philips,1000W,3200,3800,16,4.0,11845,In Stock,ShopWise Home,1 Year,Black,4 Star,8kg,750W,"Anti-Skid Feet, Overload Protection, 3 Jars","Philips 1000W mixer grinder with anti-skid feet, overload protection, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800014.jpg,https://example.com/products/800014
800015,Panasonic Convection,Home Appliances,Microwave Oven,Panasonic,Convection,18500,19500,5,4.1,12653,In Stock,ShopWise Home,1 Year,Grey,4 Star,8kg,750W,"Timer, Touch Control, Defrost","Panasonic Convection microwave oven with timer, touch control, defrost. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800015.jpg,https://example.com/products/800015
800016,Bajaj 750W,Home Appliances,Mixer Grinder,Bajaj,750W,7600,12500,39,4.1,4648,In Stock,ShopWise Home,1 Year,Grey,5 Star,190L,750W,"Copper Motor, Stainless Steel Blades, 3 Jars","Bajaj 750W mixer grinder with copper motor, stainless steel blades, 3 jars. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800016.jpg,https://example.com/products/800016
800017,Samsung Side by Side,Home Appliances,Refrigerator,Samsung,Side by Side,18700,21900,15,5.0,8085,In Stock,ShopWise Home,1 Year,White,4 Star,240L,1000W,"Toughened Glass Shelves, Frost Free, Convertible Mode","Samsung Side by Side refrigerator with toughened glass shelves, frost free, convertible mode. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800017.jpg,https://example.com/products/800017
800018,Prestige 1000W,Home Appliances,Mixer Grinder,Prestige,1000W,5500,10100,46,4.7,9090,In Stock,ShopWise Home,1 Year,Grey,3 Star,28L,500W,"Copper Motor, Overload Protection, Stainless Steel Blades","Prestige 1000W mixer grinder with copper motor, overload protection, stainless steel blades. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800018.jpg,https://example.com/products/800018
800019,Whirlpool Single Door,Home Appliances,Refrigerator,Whirlpool,Single Door,44400,48600,9,5.0,14380,In Stock,ShopWise Home,1 Year,White,3 Star,190L,1000W,"Frost Free, Toughened Glass Shelves, Inverter Compressor","Whirlpool Single Door refrigerator with frost free, toughened glass shelves, inverter compressor. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800019.jpg,https://example.com/products/800019
800020,Pureit RO,Home Appliances,Water Purifier,Pureit,RO,9500,11000,14,4.0,12881,In Stock,ShopWise Home,1 Year,Grey,5 Star,28L,1000W,"UV, TDS Controller, Mineral Booster","Pureit RO water purifier with uv, tds controller, mineral booster. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800020.jpg,https://example.com/products/800020
800021,AO Smith RO,Home Appliances,Water Purifier,AO Smith,RO,26200,29900,12,4.2,13164,In Stock,ShopWise Home,1 Year,White,3 Star,240L,500W,"RO, Mineral Booster, UV","AO Smith RO water purifier with ro, mineral booster, uv. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800021.jpg,https://example.com/products/800021
800022,Morphy Richards Convection,Home Appliances,Microwave Oven,Morphy Richards,Convection,20400,24800,18,4.8,11516,In Stock,ShopWise Home,1 Year,White,3 Star,8kg,2000W,"Defrost, Auto Cook Menu, Touch Control","Morphy Richards Convection microwave oven with defrost, auto cook menu, touch control. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800022.jpg,https://example.com/products/800022
800023,LG Single Door,Home Appliances,Refrigerator,LG,Single Door,23600,26100,10,4.9,13265,In Stock,ShopWise Home,1 Year,Grey,4 Star,240L,1500W,"Energy Rating 3 Star, Convertible Mode, Frost Free","LG Single Door refrigerator with energy rating 3 star, convertible mode, frost free. Reliable appliance for everyday home use.",Home & Kitchen,https://example.com/images/home/800023.jpg,https://example.com/products/800023
