product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,material,weight,features,description,purpose,image_url,product_url
1000001,USI Weight Plate,Sports & Fitness,Strength,USI,4049,4399,8,4.1,14408,In Stock,ShopWise Sports,6 Months,Red,Steel,2 kg,"Premium Material, Lightweight, Professional Grade","USI Weight Plate made from Polyester with premium material, lightweight, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000001.jpg,https://example.com/products/1000001
1000002,Boldfit Shaker Bottle,Sports & Fitness,Accessories,Boldfit,1499,2399,38,4.7,17255,In Stock,ShopWise Sports,6 Months,Red,Steel,5 kg,"Professional Grade, Beginner Friendly, Anti-Slip","Boldfit Shaker Bottle made from Steel with professional grade, beginner friendly, anti-slip. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000002.jpg,https://example.com/products/1000002
1000003,Nivia Shin Guard,Sports & Fitness,Sports,Nivia,5799,6499,11,4.6,6199,In Stock,ShopWise Sports,6 Months,Grey,Cotton,10 kg,"Anti-Slip, Portable, Eco-Friendly","Nivia Shin Guard made from EVA Foam with anti-slip, portable, eco-friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000003.jpg,https://example.com/products/1000003
1000004,Decathlon Dumbbell Set,Sports & Fitness,Dumbbells,Decathlon,1949,2849,32,4.2,12743,In Stock,ShopWise Sports,6 Months,Green,Rubber,2 kg,"Premium Material, High Durability, Beginner Friendly","Decathlon Dumbbell Set made from PVC with premium material, high durability, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000004.jpg,https://example.com/products/1000004
1000005,Boldfit Shaker Bottle,Sports & Fitness,Accessories,Boldfit,1199,1599,25,4.3,6572,In Stock,ShopWise Sports,6 Months,Red,Polyester,1 kg,"Sweat Resistant, Lightweight, High Durability","Boldfit Shaker Bottle made from Polyester with sweat resistant, lightweight, high durability. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000005.jpg,https://example.com/products/1000005
1000006,Cosco Basketball,Sports & Fitness,Sports,Cosco,3999,4499,11,4.5,2942,In Stock,ShopWise Sports,6 Months,Green,Rubber,5 kg,"Premium Material, Professional Grade, Lightweight","Cosco Basketball made from EVA Foam with premium material, professional grade, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000006.jpg,https://example.com/products/1000006
1000007,Cosco Cricket Bat,Sports & Fitness,Sports,Cosco,1599,2549,37,4.5,4836,In Stock,ShopWise Sports,6 Months,Black,Cotton,0.5 kg,"High Durability, Beginner Friendly, Lightweight","Cosco Cricket Bat made from Polyester with high durability, beginner friendly, lightweight. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000007.jpg,https://example.com/products/1000007
1000008,Decathlon Skipping Rope,Sports & Fitness,Cardio,Decathlon,899,1799,50,4.5,11352,In Stock,ShopWise Sports,6 Months,Green,Rubber,5 kg,"High Durability, Portable, Professional Grade","Decathlon Skipping Rope made from Steel with high durability, portable, professional grade. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000008.jpg,https://example.com/products/1000008
1000009,Boldfit Pull-up Band,Sports & Fitness,Resistance Bands,Boldfit,899,1549,42,4.2,5853,In Stock,ShopWise Sports,6 Months,Grey,Steel,0.5 kg,"Portable, High Durability, Premium Material","Boldfit Pull-up Band made from Steel with portable, high durability, premium material. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000009.jpg,https://example.com/products/1000009
1000010,Puma Training Bag,Sports & Fitness,Gym Accessories,Puma,2099,2799,25,4.3,2991,In Stock,ShopWise Sports,6 Months,Red,Steel,0.5 kg,"Professional Grade, Eco-Friendly, Beginner Friendly","Puma Training Bag made from Rubber with professional grade, eco-friendly, beginner friendly. Suitable for fitness training and daily workouts.","Fitness, Gym, Sports",https://example.com/images/sports/1000010.jpg,https://example.com/products/1000010
