product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,skin_type,hair_type,ingredient,volume,spf,gender,features,description,purpose,image_url,product_url
900001,Plum Green Tea Face Wash,Beauty & Skincare,Face Wash,Plum,349,549,36,4.3,17155,In Stock,ShopWise Beauty,No Warranty,All Skin,Damaged Hair,Vitamin C,200 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Plum Green Tea Face Wash enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900001.jpg,https://example.com/products/900001
900002,Plum Green Tea Face Wash,Beauty & Skincare,Face Wash,Plum,549,949,42,4.1,1156,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Hyaluronic Acid,30 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Plum Green Tea Face Wash enriched with Hyaluronic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900002.jpg,https://example.com/products/900002
900003,Cetaphil Moisturizing Lotion,Beauty & Skincare,Moisturizer,Cetaphil,799,1249,36,4.4,20798,In Stock,ShopWise Beauty,No Warranty,All Skin,Oily Hair,Vitamin C,200 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",Cetaphil Moisturizing Lotion enriched with Vitamin C. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900003.jpg,https://example.com/products/900003
900004,Mamaearth Ubtan Face Wash,Beauty & Skincare,Face Wash,Mamaearth,799,1249,36,4.8,19434,In Stock,ShopWise Beauty,No Warranty,Combination Skin,Oily Hair,Green Tea,100 ml,SPF 50,Unisex,"Green Tea, Dermatologically Tested, Paraben Free",Mamaearth Ubtan Face Wash enriched with Green Tea. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900004.jpg,https://example.com/products/900004
900005,Plum Body Mist,Beauty & Skincare,Beauty,Plum,899,1299,31,4.2,7937,In Stock,ShopWise Beauty,No Warranty,Dry Skin,All Hair,Hyaluronic Acid,50 ml,N/A,Unisex,"Hyaluronic Acid, Dermatologically Tested, Paraben Free",Plum Body Mist enriched with Hyaluronic Acid. Suitable for beauty and daily use.,Beauty,https://example.com/images/beauty/900005.jpg,https://example.com/products/900005
900006,Minimalist Niacinamide Serum,Beauty & Skincare,Serum,Minimalist,1299,1649,21,4.7,9494,In Stock,ShopWise Beauty,No Warranty,Oily Skin,All Hair,Salicylic Acid,150 ml,SPF 50,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Minimalist Niacinamide Serum enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900006.jpg,https://example.com/products/900006
900007,Mamaearth Vitamin C Face Wash,Beauty & Skincare,Face Wash,Mamaearth,849,949,11,4.8,18924,In Stock,ShopWise Beauty,No Warranty,Oily Skin,Dry Hair,Salicylic Acid,30 ml,N/A,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Mamaearth Vitamin C Face Wash enriched with Salicylic Acid. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900007.jpg,https://example.com/products/900007
900008,Neutrogena Hydro Boost Gel,Beauty & Skincare,Moisturizer,Neutrogena,249,649,62,4.4,16579,In Stock,ShopWise Beauty,No Warranty,Dry Skin,Dry Hair,Salicylic Acid,250 ml,N/A,Unisex,"Salicylic Acid, Dermatologically Tested, Paraben Free",Neutrogena Hydro Boost Gel enriched with Salicylic Acid. Suitable for hydration and daily use.,Hydration,https://example.com/images/beauty/900008.jpg,https://example.com/products/900008
900009,Minimalist Niacinamide Serum,Beauty & Skincare,Serum,Minimalist,1299,1399,7,4.2,5732,In Stock,ShopWise Beauty,No Warranty,All Skin,Damaged Hair,Ceramides,100 ml,N/A,Unisex,"Ceramides, Dermatologically Tested, Paraben Free",Minimalist Niacinamide Serum enriched with Ceramides. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900009.jpg,https://example.com/products/900009
900010,L'Oréal Paris Serum,Beauty & Skincare,Serum,L'Oréal,949,1299,27,4.7,2128,In Stock,ShopWise Beauty,No Warranty,Sensitive Skin,Damaged Hair,Vitamin C,250 ml,N/A,Unisex,"Vitamin C, Dermatologically Tested, Paraben Free",L'Oréal Paris Serum enriched with Vitamin C. Suitable for skin care and daily use.,Skin Care,https://example.com/images/beauty/900010.jpg,https://example.com/products/900010
