product_id,product_name,category,sub_category,brand,model,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,ram,storage,display,camera,battery,operating_system,connectivity,features,description,purpose,image_url,product_url
100001,Samsung Galaxy S24+,Electronics,Smartphone,Samsung,Galaxy S24+,20000,26000,23,4.2,5579,In Stock,ShopWise Store,1 Year,Blue,12GB,512GB,FHD+ AMOLED,48MP,4500mAh,Android,"5G, WiFi 6, Bluetooth 5.3","FHD+ AMOLED, 12GB RAM, 512GB, 48MP Camera, 4500mAh, 5G","Samsung Galaxy S24+ smartphone with FHD+ AMOLED, 12GB RAM, 512GB, 48MP Camera, 4500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100001.jpg,https://example.com/products/100001
100002,Samsung Galaxy S24+,Electronics,Smartphone,Samsung,Galaxy S24+,58000,66500,13,4.9,7220,In Stock,ShopWise Store,1 Year,Black,12GB,128GB,AMOLED 120Hz,48MP,5500mAh,Android,"5G, WiFi 7, Bluetooth 5.4","AMOLED 120Hz, 12GB RAM, 128GB, 48MP Camera, 5500mAh, 5G","Samsung Galaxy S24+ smartphone with AMOLED 120Hz, 12GB RAM, 128GB, 48MP Camera, 5500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100002.jpg,https://example.com/products/100002
100003,Xiaomi Xiaomi 14,Electronics,Smartphone,Xiaomi,Xiaomi 14,44000,54500,19,4.8,18580,In Stock,ShopWise Store,1 Year,Silver,12GB,128GB,FHD+ AMOLED,108MP,4500mAh,Android,"5G, WiFi 7, Bluetooth 5.4","FHD+ AMOLED, 12GB RAM, 128GB, 108MP Camera, 4500mAh, 5G","Xiaomi Xiaomi 14 smartphone with FHD+ AMOLED, 12GB RAM, 128GB, 108MP Camera, 4500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100003.jpg,https://example.com/products/100003
100004,Samsung Galaxy S24+,Electronics,Smartphone,Samsung,Galaxy S24+,87500,99000,12,4.5,13960,In Stock,ShopWise Store,1 Year,White,6GB,512GB,FHD+ AMOLED,64MP,5500mAh,Android,"5G, WiFi 6, Bluetooth 5.3","FHD+ AMOLED, 6GB RAM, 512GB, 64MP Camera, 5500mAh, 5G","Samsung Galaxy S24+ smartphone with FHD+ AMOLED, 6GB RAM, 512GB, 64MP Camera, 5500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100004.jpg,https://example.com/products/100004
100005,Xiaomi Xiaomi 14,Electronics,Smartphone,Xiaomi,Xiaomi 14,56000,63500,12,4.3,24926,In Stock,ShopWise Store,1 Year,Green,8GB,256GB,FHD+ AMOLED,64MP,4500mAh,Android,"5G, WiFi 7, Bluetooth 5.4","FHD+ AMOLED, 8GB RAM, 256GB, 64MP Camera, 4500mAh, 5G","Xiaomi Xiaomi 14 smartphone with FHD+ AMOLED, 8GB RAM, 256GB, 64MP Camera, 4500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100005.jpg,https://example.com/products/100005
100006,Realme Narzo 70,Electronics,Smartphone,Realme,Narzo 70,42000,43000,2,4.0,11339,In Stock,ShopWise Store,1 Year,Blue,16GB,256GB,AMOLED 120Hz,48MP,4500mAh,Android,"5G, WiFi 7, Bluetooth 5.4","AMOLED 120Hz, 16GB RAM, 256GB, 48MP Camera, 4500mAh, 5G","Realme Narzo 70 smartphone with AMOLED 120Hz, 16GB RAM, 256GB, 48MP Camera, 4500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100006.jpg,https://example.com/products/100006
100007,Realme GT 6,Electronics,Smartphone,Realme,GT 6,35000,40500,14,4.8,10153,In Stock,ShopWise Store,1 Year,Black,8GB,128GB,OLED 120Hz,108MP,4500mAh,Android,"5G, WiFi 6, Bluetooth 5.3","OLED 120Hz, 8GB RAM, 128GB, 108MP Camera, 4500mAh, 5G","Realme GT 6 smartphone with OLED 120Hz, 8GB RAM, 128GB, 108MP Camera, 4500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100007.jpg,https://example.com/products/100007
100008,Samsung Galaxy A35,Electronics,Smartphone,Samsung,Galaxy A35,51500,62500,18,4.6,18536,In Stock,ShopWise Store,1 Year,Blue,12GB,256GB,FHD+ AMOLED,50MP,5500mAh,Android,"5G, WiFi 6, Bluetooth 5.3","FHD+ AMOLED, 12GB RAM, 256GB, 50MP Camera, 5500mAh, 5G","Samsung Galaxy A35 smartphone with FHD+ AMOLED, 12GB RAM, 256GB, 50MP Camera, 5500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100008.jpg,https://example.com/products/100008
100009,Samsung Galaxy S24,Electronics,Smartphone,Samsung,Galaxy S24,55500,58500,5,4.9,10928,In Stock,ShopWise Store,1 Year,White,16GB,256GB,OLED 120Hz,48MP,5500mAh,Android,"5G, WiFi 7, Bluetooth 5.4","OLED 120Hz, 16GB RAM, 256GB, 48MP Camera, 5500mAh, 5G","Samsung Galaxy S24 smartphone with OLED 120Hz, 16GB RAM, 256GB, 48MP Camera, 5500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100009.jpg,https://example.com/products/100009
100010,OnePlus OnePlus 12R,Electronics,Smartphone,OnePlus,OnePlus 12R,26500,30500,13,4.1,21183,In Stock,ShopWise Store,1 Year,Green,6GB,128GB,LCD 120Hz,50MP,5500mAh,Android,"5G, WiFi 6, Bluetooth 5.3","LCD 120Hz, 6GB RAM, 128GB, 50MP Camera, 5500mAh, 5G","OnePlus OnePlus 12R smartphone with LCD 120Hz, 6GB RAM, 128GB, 50MP Camera, 5500mAh, 5G. Suitable for photography, gaming and daily use.","Photography, Gaming, Daily Use",https://example.com/images/smartphones/100010.jpg,https://example.com/products/100010
