product_id,product_name,category,sub_category,brand,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,size,fit,material,sleeve_type,neck_type,pattern,occasion,purpose,care_instructions,features,description,image_url,product_url
600001,Zara Linen Shirt,Fashion,Top,Zara,799,2099,62,4.7,12390,In Stock,ShopWise Fashion,No Warranty,Green,XS,A-Line,Viscose,Sleeveless,V Neck,Solid,Casual,Vacation,Machine Wash,"Viscose, A-Line, Solid, Machine Wash",Zara Linen Shirt made from Viscose. Ideal for casual occasions with a comfortable a-line.,https://example.com/images/women/600001.jpg,https://example.com/products/600001
600002,Global Desi Printed Kurta,Fashion,Kurta,Global Desi,2899,3599,19,4.2,7895,In Stock,ShopWise Fashion,No Warranty,Green,XS,Regular Fit,Viscose,Full Sleeve,Round Neck,Printed,Travel,College,Machine Wash,"Viscose, Regular Fit, Printed, Machine Wash",Global Desi Printed Kurta made from Viscose. Ideal for travel occasions with a comfortable regular fit.,https://example.com/images/women/600002.jpg,https://example.com/products/600002
600003,W Straight Kurta,Fashion,Kurta,W,3199,3699,14,4.7,2431,In Stock,ShopWise Fashion,No Warranty,Pink,XS,Slim Fit,Linen,Three-Quarter,Round Neck,Checked,Office,College,Machine Wash,"Linen, Slim Fit, Checked, Machine Wash",W Straight Kurta made from Linen. Ideal for office occasions with a comfortable slim fit.,https://example.com/images/women/600003.jpg,https://example.com/products/600003
600004,Vero Moda Casual Shirt,Fashion,Top,Vero Moda,1399,2199,36,4.8,2842,In Stock,ShopWise Fashion,No Warranty,Green,L,A-Line,Viscose,Full Sleeve,Square Neck,Printed,Travel,Office,Machine Wash,"Viscose, A-Line, Printed, Machine Wash",Vero Moda Casual Shirt made from Viscose. Ideal for travel occasions with a comfortable a-line.,https://example.com/images/women/600004.jpg,https://example.com/products/600004
600005,Global Desi Printed Kurta,Fashion,Kurta,Global Desi,3399,4199,19,4.8,9532,In Stock,ShopWise Fashion,No Warranty,Black,XXL,Straight Fit,Viscose,Half Sleeve,Round Neck,Checked,Festive,Vacation,Machine Wash,"Viscose, Straight Fit, Checked, Machine Wash",Global Desi Printed Kurta made from Viscose. Ideal for festive occasions with a comfortable straight fit.,https://example.com/images/women/600005.jpg,https://example.com/products/600005
600006,H&M Printed T-Shirt,Fashion,Top,H&M,1499,1899,21,4.1,7825,In Stock,ShopWise Fashion,No Warranty,Beige,XXL,A-Line,100% Cotton,Half Sleeve,V Neck,Printed,Travel,Vacation,Machine Wash,"100% Cotton, A-Line, Printed, Machine Wash",H&M Printed T-Shirt made from 100% Cotton. Ideal for travel occasions with a comfortable a-line.,https://example.com/images/women/600006.jpg,https://example.com/products/600006
600007,AND Trousers,Fashion,Bottom Wear,AND,2599,2899,10,4.8,5165,In Stock,ShopWise Fashion,No Warranty,Maroon,XL,A-Line,Polyester,Sleeveless,V Neck,Solid,Casual,Vacation,Machine Wash,"Polyester, A-Line, Solid, Machine Wash",AND Trousers made from Polyester. Ideal for casual occasions with a comfortable a-line.,https://example.com/images/women/600007.jpg,https://example.com/products/600007
600008,AND Trousers,Fashion,Bottom Wear,AND,3199,4299,26,4.3,4171,In Stock,ShopWise Fashion,No Warranty,Green,XXL,Regular Fit,100% Cotton,Full Sleeve,Round Neck,Checked,Party,Party,Machine Wash,"100% Cotton, Regular Fit, Checked, Machine Wash",AND Trousers made from 100% Cotton. Ideal for party occasions with a comfortable regular fit.,https://example.com/images/women/600008.jpg,https://example.com/products/600008
600009,Vero Moda Elegant Dress,Fashion,Dress,Vero Moda,2299,2499,8,4.8,2217,In Stock,ShopWise Fashion,No Warranty,Black,XXL,Regular Fit,Rayon,Full Sleeve,V Neck,Floral,Festive,Party,Machine Wash,"Rayon, Regular Fit, Floral, Machine Wash",Vero Moda Elegant Dress made from Rayon. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600009.jpg,https://example.com/products/600009
600010,Biba Kurta,Fashion,Kurta,Biba,1699,2499,32,4.1,8583,In Stock,ShopWise Fashion,No Warranty,Maroon,S,Regular Fit,Polyester,Full Sleeve,Collar,Checked,Festive,Vacation,Machine Wash,"Polyester, Regular Fit, Checked, Machine Wash",Biba Kurta made from Polyester. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600010.jpg,https://example.com/products/600010
600011,FabIndia Ethnic Dress,Fashion,Dress,FabIndia,2699,3399,21,4.7,8582,In Stock,ShopWise Fashion,No Warranty,Pink,XS,Regular Fit,Viscose,Three-Quarter,Square Neck,Floral,Festive,Daily Wear,Machine Wash,"Viscose, Regular Fit, Floral, Machine Wash",FabIndia Ethnic Dress made from Viscose. Ideal for festive occasions with a comfortable regular fit.,https://example.com/images/women/600011.jpg,https://example.com/products/600011
600012,Biba Kurta,Fashion,Kurta,Biba,2399,3399,29,4.4,5031,In Stock,ShopWise Fashion,No Warranty,Yellow,S,Slim Fit,Rayon,Sleeveless,Square Neck,Checked,Casual,Vacation,Machine Wash,"Rayon, Slim Fit, Checked, Machine Wash",Biba Kurta made from Rayon. Ideal for casual occasions with a comfortable slim fit.,https://example.com/images/women/600012.jpg,https://example.com/products/600012
600013,H&M Printed T-Shirt,Fashion,Top,H&M,1199,2499,52,4.0,7763,In Stock,ShopWise Fashion,No Warranty,Lavender,XXL,A-Line,Linen,Full Sleeve,Collar,Printed,Office,Daily Wear,Machine Wash,"Linen, A-Line, Printed, Machine Wash",H&M Printed T-Shirt made from Linen. Ideal for office occasions with a comfortable a-line.,https://example.com/images/women/600013.jpg,https://example.com/products/600013
600014,FabIndia Handloom Top,Fashion,Top,FabIndia,1699,2199,23,4.7,4081,In Stock,ShopWise Fashion,No Warranty,Blue,XL,Straight Fit,Viscose,Full Sleeve,Round Neck,Solid,Party,Office,Machine Wash,"Viscose, Straight Fit, Solid, Machine Wash",FabIndia Handloom Top made from Viscose. Ideal for party occasions with a comfortable straight fit.,https://example.com/images/women/600014.jpg,https://example.com/products/600014
600015,AND Formal Top,Fashion,Top,AND,2399,3499,31,4.4,15647,In Stock,ShopWise Fashion,No Warranty,White,XXL,Straight Fit,100% Cotton,Sleeveless,Round Neck,Checked,Travel,Daily Wear,Machine Wash,"100% Cotton, Straight Fit, Checked, Machine Wash",AND Formal Top made from 100% Cotton. Ideal for travel occasions with a comfortable straight fit.,https://example.com/images/women/600015.jpg,https://example.com/products/600015
600016,H&M Basic Top,Fashion,Top,H&M,2399,3099,23,4.4,14033,In Stock,ShopWise Fashion,No Warranty,Pink,XS,Regular Fit,Viscose,Sleeveless,Round Neck,Floral,Office,Party,Machine Wash,"Viscose, Regular Fit, Floral, Machine Wash",H&M Basic Top made from Viscose. Ideal for office occasions with a comfortable regular fit.,https://example.com/images/women/600016.jpg,https://example.com/products/600016
600017,AND Trousers,Fashion,Bottom Wear,AND,2399,3599,33,4.4,6503,In Stock,ShopWise Fashion,No Warranty,Blue,S,A-Line,Rayon,Full Sleeve,Round Neck,Printed,Office,Daily Wear,Machine Wash,"Rayon, A-Line, Printed, Machine Wash",AND Trousers made from Rayon. Ideal for office occasions with a comfortable a-line.,https://example.com/images/women/600017.jpg,https://example.com/products/600017
600018,AND Formal Top,Fashion,Top,AND,2299,2999,23,4.3,7769,In Stock,ShopWise Fashion,No Warranty,Green,XS,Slim Fit,Linen,Full Sleeve,Round Neck,Solid,Party,College,Machine Wash,"Linen, Slim Fit, Solid, Machine Wash",AND Formal Top made from Linen. Ideal for party occasions with a comfortable slim fit.,https://example.com/images/women/600018.jpg,https://example.com/products/600018
600019,H&M Oversized Shirt,Fashion,Top,H&M,1199,2099,43,4.2,8846,In Stock,ShopWise Fashion,No Warranty,Lavender,XS,Straight Fit,Rayon,Half Sleeve,V Neck,Checked,Wedding,Party,Machine Wash,"Rayon, Straight Fit, Checked, Machine Wash",H&M Oversized Shirt made from Rayon. Ideal for wedding occasions with a comfortable straight fit.,https://example.com/images/women/600019.jpg,https://example.com/products/600019
600020,ONLY Midi Dress,Fashion,Dress,ONLY,3799,3999,5,4.6,14196,In Stock,ShopWise Fashion,No Warranty,Yellow,XXL,Regular Fit,Viscose,Half Sleeve,V Neck,Embroidered,Wedding,Daily Wear,Machine Wash,"Viscose, Regular Fit, Embroidered, Machine Wash",ONLY Midi Dress made from Viscose. Ideal for wedding occasions with a comfortable regular fit.,https://example.com/images/women/600020.jpg,https://example.com/products/600020
600021,Global Desi Boho Dress,Fashion,Dress,Global Desi,3299,4699,30,4.3,2081,In Stock,ShopWise Fashion,No Warranty,Pink,L,Slim Fit,Viscose,Sleeveless,Round Neck,Checked,Travel,Vacation,Machine Wash,"Viscose, Slim Fit, Checked, Machine Wash",Global Desi Boho Dress made from Viscose. Ideal for travel occasions with a comfortable slim fit.,https://example.com/images/women/600021.jpg,https://example.com/products/600021
600022,ONLY Crop Top,Fashion,Top,ONLY,2099,2299,9,4.1,9402,In Stock,ShopWise Fashion,No Warranty,Red,XS,Regular Fit,Linen,Half Sleeve,Round Neck,Printed,Party,College,Machine Wash,"Linen, Regular Fit, Printed, Machine Wash",ONLY Crop Top made from Linen. Ideal for party occasions with a comfortable regular fit.,https://example.com/images/women/600022.jpg,https://example.com/products/600022
600023,Zara Casual Top,Fashion,Top,Zara,1999,2799,29,4.0,1383,In Stock,ShopWise Fashion,No Warranty,White,XS,Regular Fit,Viscose,Full Sleeve,Round Neck,Printed,Travel,Daily Wear,Machine Wash,"Viscose, Regular Fit, Printed, Machine Wash",Zara Casual Top made from Viscose. Ideal for travel occasions with a comfortable regular fit.,https://example.com/images/women/600023.jpg,https://example.com/products/600023
600024,FabIndia Handloom Top,Fashion,Top,FabIndia,1199,2099,43,4.7,9602,In Stock,ShopWise Fashion,No Warranty,Pink,XXL,Relaxed Fit,100% Cotton,Three-Quarter,V Neck,Embroidered,Festive,College,Machine Wash,"100% Cotton, Relaxed Fit, Embroidered, Machine Wash",FabIndia Handloom Top made from 100% Cotton. Ideal for festive occasions with a comfortable relaxed fit.,https://example.com/images/women/600024.jpg,https://example.com/products/600024
600025,Zara Casual Top,Fashion,Top,Zara,699,1299,46,4.4,15929,In Stock,ShopWise Fashion,No Warranty,Red,M,Relaxed Fit,Cotton Blend,Half Sleeve,V Neck,Printed,Party,College,Machine Wash,"Cotton Blend, Relaxed Fit, Printed, Machine Wash",Zara Casual Top made from Cotton Blend. Ideal for party occasions with a comfortable relaxed fit.,https://example.com/images/women/600025.jpg,https://example.com/products/600025
600026,Zara Linen Shirt,Fashion,Top,Zara,1799,2799,36,5.0,14044,In Stock,ShopWise Fashion,No Warranty,Yellow,XS,Slim Fit,Viscose,Full Sleeve,Collar,Embroidered,Party,Daily Wear,Machine Wash,"Viscose, Slim Fit, Embroidered, Machine Wash",Zara Linen Shirt made from Viscose. Ideal for party occasions with a comfortable slim fit.,https://example.com/images/women/600026.jpg,https://example.com/products/600026
