product_id,product_name,category,sub_category,brand,model,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,battery_life,bluetooth_version,water_resistance,noise_cancellation,features,description,purpose,image_url,product_url
300001,Nothing Ear,Electronics,Earbuds,Nothing,Ear,7999,10199,22,4.4,1432,In Stock,ShopWise Store,1 Year,White,30 Hours,Bluetooth 5.4,IPX4,Hybrid ANC,"IPX5 Water Resistant, Touch Controls, Dual Device Pairing, Bluetooth 5.4","Nothing Ear true wireless earbuds featuring IPX5 Water Resistant, Touch Controls, Dual Device Pairing, Bluetooth 5.4. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300001.jpg,https://example.com/products/300001
300002,Sony WF-C700N,Electronics,Earbuds,Sony,WF-C700N,13899,14199,2,4.8,17121,In Stock,ShopWise Store,1 Year,Black,50 Hours,Bluetooth 5.4,IPX5,ANC,"Low Latency Mode, Touch Controls, Transparency Mode, Bluetooth 5.4","Sony WF-C700N true wireless earbuds featuring Low Latency Mode, Touch Controls, Transparency Mode, Bluetooth 5.4. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300002.jpg,https://example.com/products/300002
300003,Sony WF-XB700,Electronics,Earbuds,Sony,WF-XB700,22599,24899,9,4.5,8509,In Stock,ShopWise Store,1 Year,Blue,40 Hours,Bluetooth 5.3,IPX4,ENC,"ENC, Dual Device Pairing, Bluetooth 5.3, Touch Controls","Sony WF-XB700 true wireless earbuds featuring ENC, Dual Device Pairing, Bluetooth 5.3, Touch Controls. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300003.jpg,https://example.com/products/300003
300004,Noise Buds Combat X,Electronics,Earbuds,Noise,Buds Combat X,1399,2999,53,4.6,1320,In Stock,ShopWise Store,1 Year,Green,40 Hours,Bluetooth 5.3,IPX4,ENC,"Transparency Mode, ENC, Fast Charging, Touch Controls","Noise Buds Combat X true wireless earbuds featuring Transparency Mode, ENC, Fast Charging, Touch Controls. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300004.jpg,https://example.com/products/300004
300005,OnePlus Buds 3,Electronics,Earbuds,OnePlus,Buds 3,10999,11999,8,4.7,2643,In Stock,ShopWise Store,1 Year,Purple,30 Hours,Bluetooth 5.4,IPX5,ANC,"Touch Controls, Fast Charging, Dual Device Pairing, ENC","OnePlus Buds 3 true wireless earbuds featuring Touch Controls, Fast Charging, Dual Device Pairing, ENC. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300005.jpg,https://example.com/products/300005
300006,OnePlus Nord Buds 3,Electronics,Earbuds,OnePlus,Nord Buds 3,9999,12899,22,4.8,16042,In Stock,ShopWise Store,1 Year,Green,45 Hours,Bluetooth 5.4,IPX5,ENC,"Touch Controls, Transparency Mode, Low Latency Mode, IPX5 Water Resistant","OnePlus Nord Buds 3 true wireless earbuds featuring Touch Controls, Transparency Mode, Low Latency Mode, IPX5 Water Resistant. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300006.jpg,https://example.com/products/300006
300007,Sony WF-XB700,Electronics,Earbuds,Sony,WF-XB700,14599,15599,6,4.8,4558,In Stock,ShopWise Store,1 Year,Green,45 Hours,Bluetooth 5.3,IPX5,ENC,"Transparency Mode, Bluetooth 5.3, ANC, Touch Controls","Sony WF-XB700 true wireless earbuds featuring Transparency Mode, Bluetooth 5.3, ANC, Touch Controls. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300007.jpg,https://example.com/products/300007
300008,Sony WF-1000XM5,Electronics,Earbuds,Sony,WF-1000XM5,9299,9699,4,4.3,9445,In Stock,ShopWise Store,1 Year,Purple,36 Hours,Bluetooth 5.4,IPX4,ANC,"Low Latency Mode, ANC, ENC, Bluetooth 5.3","Sony WF-1000XM5 true wireless earbuds featuring Low Latency Mode, ANC, ENC, Bluetooth 5.3. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300008.jpg,https://example.com/products/300008
300009,Realme Buds Air 6,Electronics,Earbuds,Realme,Buds Air 6,6299,7699,18,4.1,12272,In Stock,ShopWise Store,1 Year,White,50 Hours,Bluetooth 5.4,IPX5,ANC,"ENC, Bluetooth 5.4, Transparency Mode, IPX5 Water Resistant","Realme Buds Air 6 true wireless earbuds featuring ENC, Bluetooth 5.4, Transparency Mode, IPX5 Water Resistant. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300009.jpg,https://example.com/products/300009
300010,Samsung Galaxy Buds2 Pro,Electronics,Earbuds,Samsung,Galaxy Buds2 Pro,5799,8299,30,4.8,15050,In Stock,ShopWise Store,1 Year,Green,30 Hours,Bluetooth 5.3,IPX4,ANC,"Fast Charging, Transparency Mode, Touch Controls, ENC","Samsung Galaxy Buds2 Pro true wireless earbuds featuring Fast Charging, Transparency Mode, Touch Controls, ENC. Ideal for music, calls, workouts and travel.","Music, Calls, Fitness, Travel",https://example.com/images/earbuds/300010.jpg,https://example.com/products/300010
