product_id,product_name,category,sub_category,brand,model,price,original_price,discount_percentage,rating,review_count,stock_status,seller,warranty,color,case_size,display,battery_life,water_resistance,connectivity,health_features,sports_modes,features,description,purpose,image_url,product_url
400001,Fire-Boltt Visionary,Electronics,Smartwatch,Fire-Boltt,Visionary,6899,8099,15,4.1,14200,In Stock,ShopWise Store,1 Year,Gold,49 mm,LCD,7 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Always-On Display, GPS, 100+ Sports Modes, Stress Monitoring","Fire-Boltt Visionary smartwatch featuring Always-On Display, GPS, 100+ Sports Modes, Stress Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400001.jpg,https://example.com/products/400001
400002,Apple Watch Ultra 2,Electronics,Smartwatch,Apple,Watch Ultra 2,59500,60600,2,4.9,14246,In Stock,ShopWise Store,1 Year,Gold,42 mm,LCD,18 Hours,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Sleep Tracking, 5ATM Water Resistance, Bluetooth Calling, Heart Rate Monitor","Apple Watch Ultra 2 smartwatch featuring Sleep Tracking, 5ATM Water Resistance, Bluetooth Calling, Heart Rate Monitor. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400002.jpg,https://example.com/products/400002
400003,Apple Watch Ultra 2,Electronics,Smartwatch,Apple,Watch Ultra 2,66000,68000,3,4.8,6708,In Stock,ShopWise Store,1 Year,Gold,44 mm,LCD,7 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Sleep Tracking, 100+ Sports Modes, Heart Rate Monitor, Bluetooth Calling","Apple Watch Ultra 2 smartwatch featuring Sleep Tracking, 100+ Sports Modes, Heart Rate Monitor, Bluetooth Calling. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400003.jpg,https://example.com/products/400003
400004,Fire-Boltt Invincible Plus,Electronics,Smartwatch,Fire-Boltt,Invincible Plus,7699,12099,36,4.2,16440,In Stock,ShopWise Store,1 Year,Black,44 mm,AMOLED,5 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"Women's Health Tracking, AMOLED Display, Bluetooth Calling, Voice Assistant","Fire-Boltt Invincible Plus smartwatch featuring Women's Health Tracking, AMOLED Display, Bluetooth Calling, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400004.jpg,https://example.com/products/400004
400005,Apple Watch Ultra 2,Electronics,Smartwatch,Apple,Watch Ultra 2,69200,70600,2,4.8,16141,In Stock,ShopWise Store,1 Year,Pink,41 mm,LCD,18 Hours,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Stress Monitoring, Women's Health Tracking, Bluetooth Calling, SpO2 Monitoring","Apple Watch Ultra 2 smartwatch featuring Stress Monitoring, Women's Health Tracking, Bluetooth Calling, SpO2 Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400005.jpg,https://example.com/products/400005
400006,boAt Xtend Pro,Electronics,Smartwatch,boAt,Xtend Pro,2099,3299,36,4.1,22238,In Stock,ShopWise Store,1 Year,Black,44 mm,AMOLED,5 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"AMOLED Display, Heart Rate Monitor, Women's Health Tracking, 100+ Sports Modes","boAt Xtend Pro smartwatch featuring AMOLED Display, Heart Rate Monitor, Women's Health Tracking, 100+ Sports Modes. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400006.jpg,https://example.com/products/400006
400007,boAt Wave Sigma,Electronics,Smartwatch,boAt,Wave Sigma,6099,8399,27,4.9,12031,In Stock,ShopWise Store,1 Year,Pink,46 mm,AMOLED,5 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"Bluetooth Calling, Sleep Tracking, Voice Assistant, Always-On Display","boAt Wave Sigma smartwatch featuring Bluetooth Calling, Sleep Tracking, Voice Assistant, Always-On Display. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400007.jpg,https://example.com/products/400007
400008,Samsung Galaxy Watch Ultra,Electronics,Smartwatch,Samsung,Galaxy Watch Ultra,43599,48399,10,4.7,15887,In Stock,ShopWise Store,1 Year,Silver,49 mm,AMOLED,14 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"5ATM Water Resistance, 100+ Sports Modes, Women's Health Tracking, SpO2 Monitoring","Samsung Galaxy Watch Ultra smartwatch featuring 5ATM Water Resistance, 100+ Sports Modes, Women's Health Tracking, SpO2 Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400008.jpg,https://example.com/products/400008
400009,Apple Watch SE,Electronics,Smartwatch,Apple,Watch SE,32200,33600,4,4.8,4186,In Stock,ShopWise Store,1 Year,Green,42 mm,AMOLED,18 Hours,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Bluetooth Calling, Voice Assistant, Heart Rate Monitor, SpO2 Monitoring","Apple Watch SE smartwatch featuring Bluetooth Calling, Voice Assistant, Heart Rate Monitor, SpO2 Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400009.jpg,https://example.com/products/400009
400010,Amazfit GTR Mini,Electronics,Smartwatch,Amazfit,GTR Mini,17099,19199,11,4.5,14506,In Stock,ShopWise Store,1 Year,Black,46 mm,AMOLED,18 Hours,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"SpO2 Monitoring, Heart Rate Monitor, GPS, Voice Assistant","Amazfit GTR Mini smartwatch featuring SpO2 Monitoring, Heart Rate Monitor, GPS, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400010.jpg,https://example.com/products/400010
400011,Garmin Venu 3,Electronics,Smartwatch,Garmin,Venu 3,27299,29099,6,4.1,16405,In Stock,ShopWise Store,1 Year,Pink,49 mm,AMOLED,7 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"100+ Sports Modes, Voice Assistant, Women's Health Tracking, Bluetooth Calling","Garmin Venu 3 smartwatch featuring 100+ Sports Modes, Voice Assistant, Women's Health Tracking, Bluetooth Calling. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400011.jpg,https://example.com/products/400011
400012,Noise ColorFit Pro 5,Electronics,Smartwatch,Noise,ColorFit Pro 5,3499,6199,44,4.5,22314,In Stock,ShopWise Store,1 Year,Gold,44 mm,LCD,7 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"5ATM Water Resistance, Sleep Tracking, SpO2 Monitoring, Women's Health Tracking","Noise ColorFit Pro 5 smartwatch featuring 5ATM Water Resistance, Sleep Tracking, SpO2 Monitoring, Women's Health Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400012.jpg,https://example.com/products/400012
400013,boAt Lunar Connect,Electronics,Smartwatch,boAt,Lunar Connect,5299,8199,35,4.0,13416,In Stock,ShopWise Store,1 Year,Gold,49 mm,AMOLED,10 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"SpO2 Monitoring, Bluetooth Calling, AMOLED Display, Heart Rate Monitor","boAt Lunar Connect smartwatch featuring SpO2 Monitoring, Bluetooth Calling, AMOLED Display, Heart Rate Monitor. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400013.jpg,https://example.com/products/400013
400014,Fire-Boltt Ninja Call Pro,Electronics,Smartwatch,Fire-Boltt,Ninja Call Pro,3499,7999,56,4.6,12502,In Stock,ShopWise Store,1 Year,Green,41 mm,AMOLED,7 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Sleep Tracking, 100+ Sports Modes, Bluetooth Calling, Women's Health Tracking","Fire-Boltt Ninja Call Pro smartwatch featuring Sleep Tracking, 100+ Sports Modes, Bluetooth Calling, Women's Health Tracking. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400014.jpg,https://example.com/products/400014
400015,Apple Watch SE,Electronics,Smartwatch,Apple,Watch SE,62900,66200,5,4.2,22648,In Stock,ShopWise Store,1 Year,Pink,49 mm,AMOLED,14 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"Sleep Tracking, Bluetooth Calling, Voice Assistant, SpO2 Monitoring","Apple Watch SE smartwatch featuring Sleep Tracking, Bluetooth Calling, Voice Assistant, SpO2 Monitoring. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400015.jpg,https://example.com/products/400015
400016,boAt Wave Sigma,Electronics,Smartwatch,boAt,Wave Sigma,2399,3499,31,4.3,24104,In Stock,ShopWise Store,1 Year,Silver,44 mm,LCD,5 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Women's Health Tracking, 100+ Sports Modes, Stress Monitoring, Bluetooth Calling","boAt Wave Sigma smartwatch featuring Women's Health Tracking, 100+ Sports Modes, Stress Monitoring, Bluetooth Calling. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400016.jpg,https://example.com/products/400016
400017,Amazfit Bip 5,Electronics,Smartwatch,Amazfit,Bip 5,13299,17899,26,4.9,6254,In Stock,ShopWise Store,1 Year,Green,42 mm,LCD,7 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"5ATM Water Resistance, Women's Health Tracking, Bluetooth Calling, GPS","Amazfit Bip 5 smartwatch featuring 5ATM Water Resistance, Women's Health Tracking, Bluetooth Calling, GPS. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400017.jpg,https://example.com/products/400017
400018,Noise ColorFit Pro 5,Electronics,Smartwatch,Noise,ColorFit Pro 5,4099,5699,28,4.0,6792,In Stock,ShopWise Store,1 Year,Black,46 mm,AMOLED,10 Days,IP68,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"AMOLED Display, Heart Rate Monitor, 100+ Sports Modes, GPS","Noise ColorFit Pro 5 smartwatch featuring AMOLED Display, Heart Rate Monitor, 100+ Sports Modes, GPS. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400018.jpg,https://example.com/products/400018
400019,Garmin Forerunner 165,Electronics,Smartwatch,Garmin,Forerunner 165,42399,44999,6,4.7,20948,In Stock,ShopWise Store,1 Year,Blue,49 mm,LCD,10 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"AMOLED Display, Always-On Display, Women's Health Tracking, GPS","Garmin Forerunner 165 smartwatch featuring AMOLED Display, Always-On Display, Women's Health Tracking, GPS. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400019.jpg,https://example.com/products/400019
400020,boAt Wave Sigma,Electronics,Smartwatch,boAt,Wave Sigma,3499,6199,44,4.7,21958,In Stock,ShopWise Store,1 Year,Green,49 mm,AMOLED,5 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",100+,"5ATM Water Resistance, SpO2 Monitoring, AMOLED Display, Bluetooth Calling","boAt Wave Sigma smartwatch featuring 5ATM Water Resistance, SpO2 Monitoring, AMOLED Display, Bluetooth Calling. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400020.jpg,https://example.com/products/400020
400021,Apple Watch SE,Electronics,Smartwatch,Apple,Watch SE,45800,48200,5,4.7,17146,In Stock,ShopWise Store,1 Year,Silver,41 mm,AMOLED,14 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Sleep Tracking, Voice Assistant, AMOLED Display, 5ATM Water Resistance","Apple Watch SE smartwatch featuring Sleep Tracking, Voice Assistant, AMOLED Display, 5ATM Water Resistance. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400021.jpg,https://example.com/products/400021
400022,Apple Watch Ultra 2,Electronics,Smartwatch,Apple,Watch Ultra 2,52400,55100,5,4.4,11777,In Stock,ShopWise Store,1 Year,Blue,41 mm,AMOLED,5 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"Sleep Tracking, Women's Health Tracking, AMOLED Display, GPS","Apple Watch Ultra 2 smartwatch featuring Sleep Tracking, Women's Health Tracking, AMOLED Display, GPS. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400022.jpg,https://example.com/products/400022
400023,Apple Watch Series 10,Electronics,Smartwatch,Apple,Watch Series 10,84300,84800,1,4.6,4550,In Stock,ShopWise Store,1 Year,Black,42 mm,AMOLED,14 Days,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"AMOLED Display, GPS, Always-On Display, 100+ Sports Modes","Apple Watch Series 10 smartwatch featuring AMOLED Display, GPS, Always-On Display, 100+ Sports Modes. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400023.jpg,https://example.com/products/400023
400024,Apple Watch Series 10,Electronics,Smartwatch,Apple,Watch Series 10,54000,54800,1,4.7,20543,In Stock,ShopWise Store,1 Year,Gold,46 mm,LCD,18 Hours,10ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",150+,"Women's Health Tracking, Heart Rate Monitor, GPS, Bluetooth Calling","Apple Watch Series 10 smartwatch featuring Women's Health Tracking, Heart Rate Monitor, GPS, Bluetooth Calling. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400024.jpg,https://example.com/products/400024
400025,Amazfit Bip 5,Electronics,Smartwatch,Amazfit,Bip 5,21899,26699,18,4.9,12686,In Stock,ShopWise Store,1 Year,Silver,42 mm,AMOLED,7 Days,5ATM,Bluetooth 5.3,"Heart Rate, SpO2, Sleep",120+,"100+ Sports Modes, Stress Monitoring, SpO2 Monitoring, Voice Assistant","Amazfit Bip 5 smartwatch featuring 100+ Sports Modes, Stress Monitoring, SpO2 Monitoring, Voice Assistant. Suitable for fitness tracking, daily health monitoring and notifications.","Fitness, Health, Daily Use",https://example.com/images/smartwatch/400025.jpg,https://example.com/products/400025
